Date,Name,Year,Letterboxd URI,Rating
2021-08-01,La La Land,2016,https://boxd.it/a5fa,5
2021-08-01,Whiplash,2014,https://boxd.it/7bQA,5
2021-08-01,Rocky,1976,https://boxd.it/28Uk,5
2021-08-01,Rocky II,1979,https://boxd.it/28Ua,4.5
2021-08-01,Rocky III,1982,https://boxd.it/28Tw,3.5
2021-08-01,Rocky IV,1985,https://boxd.it/28T2,3
2021-08-01,Rocky V,1990,https://boxd.it/28SS,1.5
2021-08-01,Rocky Balboa,2006,https://boxd.it/291q,5
2021-08-01,Creed,2015,https://boxd.it/a2qk,4
2021-08-01,Joker,2019,https://boxd.it/h4cS,4.5
2021-08-01,Watchmen,2009,https://boxd.it/1QE4,3.5
2021-08-01,Gone Girl,2014,https://boxd.it/6hQu,3.5
2021-08-01,Zodiac,2007,https://boxd.it/27MO,4.5
2021-08-01,Fight Club,1999,https://boxd.it/2a9q,4
2021-08-01,Se7en,1995,https://boxd.it/29zs,4
2021-08-01,The Social Network,2010,https://boxd.it/17ue,5
2021-08-01,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3.5
2021-08-01,Forrest Gump,1994,https://boxd.it/728,4.5
2021-08-01,Back to the Future,1985,https://boxd.it/2b8e,5
2021-08-01,Back to the Future Part II,1989,https://boxd.it/2aYI,4.5
2021-08-01,Back to the Future Part III,1990,https://boxd.it/2aTS,5
2021-08-01,Star Wars,1977,https://boxd.it/72s,4
2021-08-01,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2021-08-01,Return of the Jedi,1983,https://boxd.it/27Vm,4
2021-08-01,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,1.5
2021-08-01,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,0.5
2021-08-01,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,3.5
2021-08-01,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2021-08-01,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4.5
2021-08-01,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1.5
2021-08-01,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2021-08-01,Baby Driver,2017,https://boxd.it/bhF2,4
2021-08-01,Shaun of the Dead,2004,https://boxd.it/29J8,4
2021-08-02,Rocketman,2019,https://boxd.it/iehK,4
2021-08-02,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2021-08-02,Blade Runner,1982,https://boxd.it/2bcA,4
2021-08-02,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2021-08-02,Arrival,2016,https://boxd.it/aNGk,4.5
2021-08-02,Prisoners,2013,https://boxd.it/4E5i,4
2021-08-02,Parasite,2019,https://boxd.it/hTha,5
2021-08-02,The Godfather,1972,https://boxd.it/2aNK,5
2021-08-02,The Godfather: Part II,1974,https://boxd.it/2aNq,5
2021-08-02,Taxi Driver,1976,https://boxd.it/2b8y,4
2021-08-02,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2021-08-02,Amadeus,1984,https://boxd.it/2aH8,4.5
2021-08-02,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2021-08-02,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2021-08-02,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2021-08-02,The Wind Rises,2013,https://boxd.it/4JQS,5
2021-08-02,Porco Rosso,1992,https://boxd.it/1Tp2,4
2021-08-02,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4
2021-08-02,Drive,2011,https://boxd.it/IG,4.5
2021-08-02,Her,2013,https://boxd.it/4O24,4
2021-08-02,Nightcrawler,2014,https://boxd.it/780m,3.5
2021-08-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2021-08-02,American Psycho,2000,https://boxd.it/28Vs,3.5
2021-08-02,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2021-08-02,The Irishman,2019,https://boxd.it/dYOq,4
2021-08-02,George Harrison: Living in the Material World,2011,https://boxd.it/2CoI,4.5
2021-08-02,Shutter Island,2010,https://boxd.it/1U82,3.5
2021-08-02,Uncut Gems,2019,https://boxd.it/gXGc,3.5
2021-08-02,Lady Bird,2017,https://boxd.it/dGNE,4.5
2021-08-02,Roma,2018,https://boxd.it/f69M,4.5
2021-08-02,The Breakfast Club,1985,https://boxd.it/27q4,4
2021-08-02,While We're Young,2014,https://boxd.it/7oOs,3.5
2021-08-02,School of Rock,2003,https://boxd.it/28xK,4
2021-08-02,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4.5
2021-08-02,The Nice Guys,2016,https://boxd.it/94Hg,4
2021-08-02,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-08-02,Dead Poets Society,1989,https://boxd.it/2aSg,4.5
2021-08-02,Good Will Hunting,1997,https://boxd.it/2ahY,5
2021-08-02,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2021-08-02,About Time,2013,https://boxd.it/43bI,3
2021-08-02,Into the Wild,2007,https://boxd.it/22m2,3
2021-08-02,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3
