Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-09-24,I'm Thinking of Ending Things,2020,https://boxd.it/29QYet,1.5,,netflix,2021-09-23
2021-09-26,Lost Highway,1997,https://boxd.it/2a6huv,5,,"telecine, mindblown",2021-09-25
2021-09-26,Cléo from 5 to 7,1962,https://boxd.it/2a7iwT,4.5,,telecine,2021-09-25
2021-09-27,The 400 Blows,1959,https://boxd.it/2agqst,3.5,,telecine,2021-09-26
2021-09-27,Nomadland,2020,https://boxd.it/2ahv3v,3,,telecine,2021-09-26
2021-09-28,Portrait of a Lady on Fire,2019,https://boxd.it/2apF6F,5,,telecine,2021-09-27
2021-10-03,The Lighthouse,2019,https://boxd.it/2b2Mih,4.5,,telecine,2021-10-02
2021-10-04,In the Mood for Love,2000,https://boxd.it/2bca0J,5,,"cinema oriental, mubi, china",2021-10-03
2021-10-04,The Matrix Reloaded,2003,https://boxd.it/2bf6l5,3.5,,,2021-10-03
2021-10-05,Train to Busan,2016,https://boxd.it/2bqGXL,2,,"cinema oriental, coreia, netflix, filmes que começam muito bons mas ficam muito ruins",2021-10-04
2021-10-11,Us,2019,https://boxd.it/2chmjx,3,,,2021-10-10
2021-10-14,Squid Game,2021,https://boxd.it/2cJZ4x,2.5,,,2021-10-13
2021-10-17,Minari,2020,https://boxd.it/2df6x9,4.5,,,2021-10-16
2021-10-18,8½,1963,https://boxd.it/2dqued,5,,"telecine, mindblown, rever eventualmente, italia",2021-10-17
2021-10-21,From Up on Poppy Hill,2011,https://boxd.it/2dQRhB,3,,,2021-10-19
2021-10-22,The Wind Rises,2013,https://boxd.it/2dZCOX,5,Yes,,2021-10-21
2021-10-23,The Rocky Horror Picture Show,1975,https://boxd.it/2e4FdF,4,,telecine,2021-10-22
2021-10-23,Escape from Alcatraz,1979,https://boxd.it/2e6mPJ,3,,telecine,2021-10-22
2021-10-24,Jaws,1975,https://boxd.it/2ee8pD,3.5,,netflix,2021-10-23
2021-10-24,Halloween,1978,https://boxd.it/2ehw4P,2,,,2021-10-23
2021-10-25,Midsommar,2019,https://boxd.it/2eq6Tv,4.5,,,2021-10-24
2021-10-25,Howl's Moving Castle,2004,https://boxd.it/2euE3r,3.5,Yes,,2021-10-24
2021-10-29,Spirited Away,2001,https://boxd.it/2f57Uh,4.5,Yes,,2021-10-27
2021-11-01,Reservoir Dogs,1992,https://boxd.it/2fCUNF,5,Yes,telecine,2021-10-31
2021-11-02,Rear Window,1954,https://boxd.it/2fQfLr,4.5,,,2021-11-01
2021-11-07,The Florida Project,2017,https://boxd.it/2gwBpB,2,,"prime video, filmes que começam muito bons mas ficam muito ruins, hahaha sim linda eu sou um diretor super artístico",2021-11-06
2021-11-07,It Follows,2014,https://boxd.it/2gxL59,1.5,,,2021-11-06
2021-11-07,Ocean Waves,1993,https://boxd.it/2gyOqr,4,,"netflix, crise dos 25, ghibli, japão",2021-11-06
2021-11-08,The Farewell,2019,https://boxd.it/2gHgmD,4.5,,china,2021-11-07
2021-11-08,Lucky Chan-sil,2019,https://boxd.it/2gJECp,4,,"coreia, mubi, rever eventualmente",2021-11-07
2021-11-08,North by Northwest,1959,https://boxd.it/2gM3jL,4.5,,,2021-11-07
2021-11-14,The Chase,2017,https://boxd.it/2hBzeP,1,,"cinema oriental, coreia, netflix",2021-11-13
2021-12-02,The Beatles: Get Back,2021,https://boxd.it/2krL95,4.5,,"disney+, chorei? chorei.",2021-12-01
2021-12-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2kSbKX,3.5,,disney+,2021-12-04
2021-12-12,Chungking Express,1994,https://boxd.it/2lONmb,4.5,,"cinema oriental, china, mubi",2021-12-11
2021-12-12,Annette,2021,https://boxd.it/2lRURh,4,,"rever eventualmente, mubi",2021-12-11
2021-12-12,Shiva Baby,2020,https://boxd.it/2lUz4T,2.5,,mubi,2021-12-11
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/2mTvUX,3,,"no cinema, sou fã quero service",2021-12-18
2021-12-26,Microhabitat,2017,https://boxd.it/2otAtX,3.5,,"mubi, rever eventualmente, coreia, cinema oriental, crise dos 25",2021-12-25
2021-12-27,Spencer,2021,https://boxd.it/2oLWVb,4.5,,,2021-12-26
2021-12-27,The French Dispatch,2021,https://boxd.it/2oPHw9,4.5,,,2021-12-26
2021-12-29,mother!,2017,https://boxd.it/2plM9N,4.5,,"netflix, mindblown",2021-12-28
2022-01-01,The Power of the Dog,2021,https://boxd.it/2q8z9D,2.5,,netflix,2021-12-31
2022-01-07,Don't Look Up,2021,https://boxd.it/2rNSur,2.5,,,2022-01-06
2022-01-09,The Lost Daughter,2021,https://boxd.it/2smyOh,4,,netflix,2022-01-08
2022-01-15,"tick, tick...BOOM!",2021,https://boxd.it/2tTvVT,1,,,2022-01-14
2022-01-16,Eternals,2021,https://boxd.it/2u4ZyH,3,,disney+,2022-01-15
2022-01-16,The Hand of God,2021,https://boxd.it/2u8Ean,5,,"netflix, italia",2022-01-15
2022-01-17,The Summit of the Gods,2021,https://boxd.it/2uoEHt,4,,netflix,2022-01-16
2022-01-20,The Worst Person in the World,2021,https://boxd.it/2v6nzl,3.5,,,2022-01-19
2022-01-23,Frances Ha,2012,https://boxd.it/2vGMZZ,4,Yes,,2022-01-22
2022-01-26,Happy Together,1997,https://boxd.it/2wkytF,3.5,,"mubi, china",2022-01-25
2022-01-30,The Matrix Resurrections,2021,https://boxd.it/2x1EOP,3,,hbo max,2022-01-29
2022-01-30,Dune,2021,https://boxd.it/2x4RQZ,4,,hbo max,2022-01-29
2022-02-04,Inside Llewyn Davis,2013,https://boxd.it/2y6ZZj,5,,prime video,2022-02-03
2022-02-05,When Harry Met Sally...,1989,https://boxd.it/2ye7ql,4.5,,prime video,2022-02-04
2022-02-06,All About My Mother,1999,https://boxd.it/2ykFuX,3.5,,mubi,2022-02-05
2022-02-06,Drive My Car,2021,https://boxd.it/2yopsz,3,,"cinema oriental, japão",2022-02-05
2022-02-11,Raw,2016,https://boxd.it/2zox6P,4,,,2022-02-10
2022-02-12,The Favourite,2018,https://boxd.it/2zwD7Z,3,,star+,2022-02-11
2022-02-22,When Harry Met Sally...,1989,https://boxd.it/2BrZEf,4.5,Yes,,2022-02-21
2022-02-27,Fallen Angels,1995,https://boxd.it/2CaG9H,3,,"cinema oriental, mubi, china",2022-02-26
2022-03-06,It's a Wonderful Life,1946,https://boxd.it/2DBpQd,4,,prime video,2022-03-05
2022-03-11,Casablanca,1942,https://boxd.it/2Erbo9,3.5,,hbo max,2022-03-10
2022-03-14,Anatomy of a Murder,1959,https://boxd.it/2F3gk3,4,,hbo max,2022-03-13
2022-03-22,Spider-Man: No Way Home,2021,https://boxd.it/2GAUYd,2.5,Yes,,2022-03-20
2021-08-09,(500) Days of Summer,2009,https://boxd.it/23pe3V,4.5,Yes,,2022-04-02
2022-04-03,CODA,2021,https://boxd.it/2IJd0v,4,,,2022-04-02
2022-04-04,The Batman,2022,https://boxd.it/2IUSNb,4.5,,no cinema,2022-04-03
2022-04-23,Hereditary,2018,https://boxd.it/2Mia8D,5,,"hbo max, mindblown",2022-04-22
2022-06-05,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2TVhxV,3,,no cinema,2022-05-26
2022-06-06,Forgotten,2017,https://boxd.it/2Ud9Tv,2.5,,"netflix, cinema oriental, coreia",2022-06-05
2022-06-19,Braveheart,1995,https://boxd.it/2Ws4qV,3.5,,,2022-06-18
2022-06-28,Everything Everywhere All at Once,2022,https://boxd.it/2YduXT,4.5,,no cinema,2022-06-25
2022-06-28,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/2YdvED,2.5,,,2022-06-26
2022-07-18,Alien,1979,https://boxd.it/322mR3,4.5,,,2022-07-16
2022-07-31,Lunana: A Yak in the Classroom,2019,https://boxd.it/353i9Z,5,,no cinema,2022-07-30
2022-08-02,Coco,2017,https://boxd.it/35o9UT,4,,,2022-07-31
2022-08-14,Reservoir Dogs,1992,https://boxd.it/37VAU1,5,Yes,,2022-08-11
2022-08-29,Nope,2022,https://boxd.it/3aXCgD,3,,,2022-08-27
2022-09-11,Juno,2007,https://boxd.it/3dms2p,4,,,2022-08-27
2022-09-08,The Call,2020,https://boxd.it/3cUB7R,3.5,,,2022-09-04
2022-09-09,Hot Fuzz,2007,https://boxd.it/3d4iXJ,4.5,Yes,,2022-09-08
2022-10-02,Petite Maman,2021,https://boxd.it/3hpa4z,4,,,2022-09-29
2022-10-02,Dial M for Murder,1954,https://boxd.it/3hrJ3v,4,,,2022-10-01
2022-10-08,Licorice Pizza,2021,https://boxd.it/3iyxgF,2.5,,,2022-10-06
2022-10-10,The Blair Witch Project,1999,https://boxd.it/3jcUip,2.5,,,2022-10-09
2022-10-10,La La Land,2016,https://boxd.it/3jcUOP,5,,,2022-10-09
2022-10-18,Mars One,2022,https://boxd.it/3kNa6Z,4.5,,,2022-10-12
2022-10-30,The Second Mother,2015,https://boxd.it/3nobK9,4.5,,,2022-10-29
2022-11-10,Sorry to Bother You,2018,https://boxd.it/3pOSXF,0.5,,,2022-11-09
2022-11-13,Blue Velvet,1986,https://boxd.it/3qjxpJ,3.5,,,2022-11-12
2022-11-16,Charcoal,2022,https://boxd.it/3r4XNL,4,,,2022-11-15
2022-11-20,Neighboring Sounds,2012,https://boxd.it/3rRhIx,3.5,,,2022-11-19
2022-11-21,The Platform,2019,https://boxd.it/3s3Jht,2.5,,,2022-11-20
2022-11-24,Wild Tales,2014,https://boxd.it/3sHXl5,3,,,2022-11-23
2022-11-28,C'mon C'mon,2021,https://boxd.it/3tBJ21,3.5,,,2022-11-27
2022-12-04,Fantastic Mr. Fox,2009,https://boxd.it/3uGJFr,3.5,,,2022-12-03
2022-12-07,The Third Man,1949,https://boxd.it/3vq3NZ,2.5,,,2022-12-06
2022-12-12,Aftersun,2022,https://boxd.it/3wvdLX,5,,,2022-12-11
2023-01-11,Glass Onion,2022,https://boxd.it/3Gsr9d,3.5,,,2023-01-08
2023-01-15,Decision to Leave,2022,https://boxd.it/3HRQv3,3.5,,,2023-01-14
2023-01-16,See How They Run,2022,https://boxd.it/3IfdqV,1.5,,,2023-01-15
2023-01-18,Bullet Train,2022,https://boxd.it/3ITKY7,3.5,,,2023-01-17
