Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-09-27,Nomadland,2020,https://boxd.it/2ahv3v,3,,"um filme que fala de como o capitalismo falhou como sistema nos EUA mas que usa a Amazon como uma rede de segurança pra protagonista várias vezes no filme, eu achei hilário",telecine,2021-09-26
2021-10-03,The Lighthouse,2019,https://boxd.it/2b2Mih,4.5,,"""YOUR GODAMNED FARTS!"" *esmurra a parede*",telecine,2021-10-02
2021-10-05,Train to Busan,2016,https://boxd.it/2bqGXL,2,,Linda a capacidade do cinema em conectar diversos povos mostrando que existe filme ruim em todo lugar,"cinema oriental, coreia, netflix, filmes que começam muito bons mas ficam muito ruins",2021-10-04
2021-10-18,8½,1963,https://boxd.it/2dqued,5,,Feeling some intense Neon Genesis: Evangelion vibes from this one,"telecine, mindblown, rever eventualmente, italia",2021-10-17
2021-10-22,The Wind Rises,2013,https://boxd.it/2dZCOX,5,Yes,O melhor filme do Myiazaki e eu saio na mão com quem discordar,,2021-10-21
2021-10-24,Halloween,1978,https://boxd.it/2ehw4P,2,,Tão tosco que fica bom,,2021-10-23
2021-11-01,Reservoir Dogs,1992,https://boxd.it/2fCUNF,5,Yes,With Steve Buscemi as THE PROFESSIONAL,telecine,2021-10-31
2021-11-02,Rear Window,1954,https://boxd.it/2fQfLr,4.5,,Hitchcock inventou o conceito de procrastinar o máximo possível e rushar o trabalho quando chegar perto do prazo,,2021-11-01
2021-11-07,The Florida Project,2017,https://boxd.it/2gwBpB,2,,Peidou na farofa,"prime video, filmes que começam muito bons mas ficam muito ruins, hahaha sim linda eu sou um diretor super artístico",2021-11-06
2021-11-07,Ocean Waves,1993,https://boxd.it/2gyOqr,4,,"Lindíssimo lindíssimo lindíssimo

Tipo Na Colina Kokuriko, só que low budget, lofi e sem aquele treco de incesto","netflix, crise dos 25, ghibli, japão",2021-11-06
2021-11-08,Lucky Chan-sil,2019,https://boxd.it/2gJECp,4,,Protagonistas em crise sem saber o que vão fazer da vida é meu gênero cinematográfico favorito,"coreia, mubi, rever eventualmente",2021-11-07
2021-12-02,The Beatles: Get Back,2021,https://boxd.it/2krL95,4.5,,"9 horas da maior banda de rock que já pisou nesse planeta compondo algumas das melhores músicas que já foram feitas enquanto você fica espionando um bando de conversa privada . Que filme mais lindo eu tô emocionadissimo, o Paul compondo Get Back DO NADA, o George ajudando o Ringo a escrever Octopus Garden aaaaaaaa","disney+, chorei? chorei.",2021-12-01
2021-12-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2kSbKX,3.5,,"Trocação de soco bem coreografada, Tony Leung e fan service. Se não tivesse luta de dragão gigante Adobe Premier free tier, era top3 filmes da Marvel",disney+,2021-12-04
2021-12-12,Chungking Express,1994,https://boxd.it/2lONmb,4.5,,"Meu casa leva um pé na bunda e decide comer 30 latas de abacaxi enlatado vencidos e se apaixonar por uma bandida, achei saudável

Filmao","cinema oriental, china, mubi",2021-12-11
2021-12-12,Annette,2021,https://boxd.it/2lRURh,4,,Entrei achando que ia ser um musical fofinho mas na verdade é uma Opera dirigida pelo David Lynch bizarra sobre fama e corrupção com a porra de um fantoche mecânico.,"rever eventualmente, mubi",2021-12-11
2021-12-12,Shiva Baby,2020,https://boxd.it/2lUz4T,2.5,,"Eu não consigo ENTENDER como isso tá com 8.2/10 no mubi, IMPOSSÍVEL",mubi,2021-12-11
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/2mTvUX,3,,Eles realmente foram lá e fizeram um filme melhor do que Homem Aranha 2,"no cinema, sou fã quero service",2021-12-18
2021-12-26,Microhabitat,2017,https://boxd.it/2otAtX,3.5,,Ela só quer acender o nargas PAE,"mubi, rever eventualmente, coreia, cinema oriental, crise dos 25",2021-12-25
2021-12-27,Spencer,2021,https://boxd.it/2oLWVb,4.5,,O melhor filme de terror psicológico de 2021,,2021-12-26
2021-12-27,The French Dispatch,2021,https://boxd.it/2oPHw9,4.5,,Como é bom ver filme de quem ama fazer cinema porraaaaaaaa,,2021-12-26
2021-12-29,mother!,2017,https://boxd.it/2plM9N,4.5,,"Fenomenal. Tirando pela parte que o Aronofsky simplesmente desiste da metáfora e praticamente faz a Jennifer Lawrence virar pra tela explicar o que ele quer dizer. Mas é isso, melhor Live action da Bíblia desde a Paixão de Cristo. Achei o arco do velho testamento iradissimo","netflix, mindblown",2021-12-28
2022-01-01,The Power of the Dog,2021,https://boxd.it/2q8z9D,2.5,,Oscar bait,netflix,2021-12-31
2022-01-07,Don't Look Up,2021,https://boxd.it/2rNSur,2.5,,Basicamente um tweet de 2h30<i></i><i></i><i></i><i></i>,,2022-01-06
2022-01-09,The Lost Daughter,2021,https://boxd.it/2smyOh,4,,"É por causa desse tipo de filme que eu gosto de cinema. Bati palma aqui, filmaço",netflix,2022-01-08
2022-01-16,The Hand of God,2021,https://boxd.it/2u8Ean,5,,Estou assoviando e chorando,"netflix, italia",2022-01-15
2022-01-17,The Summit of the Gods,2021,https://boxd.it/2uoEHt,4,,"Lindão, mas inevitavelmente vai ser esquecido em troca de mais uma animação da Disney/Pixar",netflix,2022-01-16
2022-01-23,Frances Ha,2012,https://boxd.it/2vGMZZ,4,Yes,Registrando o rewatch anual meu deus como eu amo esse filme!!!!¡!!!!¡,,2022-01-22
2022-01-26,Happy Together,1997,https://boxd.it/2wkytF,3.5,,Wong kar wai dirigindo um relacionamento tóxico numa kitnet na bela vista,"mubi, china",2022-01-25
2022-01-30,The Matrix Resurrections,2021,https://boxd.it/2x1EOP,3,,Lana Wachowski mostrando o dedo do meio pra Warner Bros e o gênero de cinema blockbuster e ocasionalmente se lembrando que ta dirigindo um novo Matrix,hbo max,2022-01-29
2022-02-05,When Harry Met Sally...,1989,https://boxd.it/2ye7ql,4.5,,Preencheu o buraco que Annie Hall deixou no meu coração quando eu percebi a ÍNDOLE de Woody Allen,prime video,2022-02-04
2022-02-11,Raw,2016,https://boxd.it/2zox6P,4,,"Fiquei enojado, mas FILMAO",,2022-02-10
2022-02-12,The Favourite,2018,https://boxd.it/2zwD7Z,3,,completamente indiferente,star+,2022-02-11
2022-02-27,Fallen Angels,1995,https://boxd.it/2CaG9H,3,,"Chunking express requentado so que dor, depressão e trevas","cinema oriental, mubi, china",2022-02-26
2022-03-22,Spider-Man: No Way Home,2021,https://boxd.it/2GAUYd,2.5,Yes,"Assistir isso em casa foi tipo assistir friends sem o efeito sonoro de risada, bom demais não recomendo",,2022-03-20
2022-04-03,CODA,2021,https://boxd.it/2IJd0v,4,,CODA: Chorei Orrores De Amor,,2022-04-02
2022-04-04,The Batman,2022,https://boxd.it/2IUSNb,4.5,,Literalmente eu!,no cinema,2022-04-03
2022-04-23,Hereditary,2018,https://boxd.it/2Mia8D,5,,"Sei nem o que falar, apenas sentimentos","hbo max, mindblown",2022-04-22
2022-06-06,Forgotten,2017,https://boxd.it/2Ud9Tv,2.5,,Aquela cena da Mari do BBB 20 gritando PARA DE GRITAAAAAAAAAR,"netflix, cinema oriental, coreia",2022-06-05
2022-06-19,Braveheart,1995,https://boxd.it/2Ws4qV,3.5,,Mel Gibson louco de cocaína sem saber se faz um remake de Rambo ou do Vai Dar namoro do Faro,,2022-06-18
2022-06-28,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/2YdvED,2.5,,O Sonic feio meu deus,,2022-06-26
2022-07-31,Lunana: A Yak in the Classroom,2019,https://boxd.it/353i9Z,5,,"Terminei o filme e:
1. Mandei dm pro menino ney doar salário pra professor
2. Saudei mandioca e feijoada em toda refeição, pau no cu de gringo



Show",no cinema,2022-07-30
2022-08-29,Nope,2022,https://boxd.it/3aXCgD,3,,"O filme que me fez perceber que não gosto dos filmes do jordan peele, eu só gostei muito de corra.",,2022-08-27
2022-09-08,The Call,2020,https://boxd.it/3cUB7R,3.5,,favor não ligar contato apenas por Whatsapp obrigado,,2022-09-04
2022-10-02,Petite Maman,2021,https://boxd.it/3hpa4z,4,,não tem uma criança feliz na frança,,2022-09-29
2022-10-02,Dial M for Murder,1954,https://boxd.it/3hrJ3v,4,,The masculine urge of planejar roubar a herança da esposa pra manter o vício em aposta,,2022-10-01
2022-10-08,Licorice Pizza,2021,https://boxd.it/3iyxgF,2.5,,Ah sinceramente,,2022-10-06
2022-10-10,The Blair Witch Project,1999,https://boxd.it/3jcUip,2.5,,Nada acontece feijoada,,2022-10-09
